danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
0.279,0.304,2,-12.446,0.0351,0.872,1.79e-05,0.197,0.389,157.366,3TvYXUp2ePJwRZpvGjGoYn,4
0.51,0.696,8,-6.128,0.0748,0.191,0.0,0.0973,0.384,96.872,4cMbAhrwsZsAHceaGvZy9y,4
0.596,0.451,5,-9.468,0.0404,0.64,3.52e-06,0.158,0.486,148.045,5Ikos3uiBfPYAf7EZfz8t3,4
0.79,0.459,0,-12.183,0.0709,0.605,0.0,0.111,0.962,111.464,1gC8FCW9gnAS3DICToSfUz,4
0.774,0.647,1,-6.682,0.0514,0.47,0.000569,0.46,0.965,95.098,2BvDFQOl4JieEGK2cgKOey,4
0.574,0.883,9,-6.686,0.136,0.0606,0.0,0.0524,0.693,123.084,2kXkaplZ6HdXz5XYBtdunj,4
0.678,0.869,5,-9.634,0.106,0.39,5.09e-06,0.0956,0.834,96.155,47aAFHGGYBwCOyEvBZx1ec,4
0.544,0.721,9,-13.429,0.0441,0.435,0.000805,0.452,0.739,100.359,6WohVJvZ6RYmYN8Nxl9VHa,4
0.725,0.181,6,-13.824,0.0411,0.947,0.00387,0.111,0.357,111.122,1ZetCeq3ZOSD2k64UNEBqf,4
0.549,0.555,11,-7.144,0.0344,0.791,0.000311,0.117,0.876,97.724,2Er0f1mhO0g1rov9Cdi5Wk,4
0.283,0.381,11,-14.401,0.0335,0.703,0.00475,0.0894,0.142,125.409,3tA54JAcwUPS2uMAZJNNI8,4
0.471,0.306,9,-13.635,0.0476,0.0841,0.000479,0.264,0.314,137.901,3qhFhiaQrfkejwjSFqjfmR,4
0.59,0.175,0,-17.19,0.0326,0.889,7.69e-05,0.103,0.294,85.866,3ow8EuQfDHGThJ7ALXPgIl,4
0.626,0.0914,0,-20.211,0.0856,0.826,0.000131,0.113,0.471,121.171,6kCjKljGsnyzXaKKH9Cbgu,4
0.789,0.348,0,-15.683,0.0605,0.518,0.00236,0.0688,0.966,116.43,0pzMoXX6gHpUQ7zqDVkSSp,4
0.385,0.488,5,-9.946,0.03,0.603,0.00662,0.446,0.721,150.328,5DPHDqGo6BbyvFn0QUJdIR,4
0.463,0.508,0,-10.707,0.0441,0.748,0.000266,0.226,0.656,87.385,4WZOQXVJLexr0UMdq0CiAt,4
0.381,0.179,4,-12.443,0.0335,0.808,0.00119,0.102,0.121,130.747,1jHKEk6kxgS9KB78dE669J,4
0.698,0.326,3,-17.2,0.0495,0.909,2.48e-06,0.0994,0.964,88.573,1doQyicqaZrbMuqw7cxSyo,4
0.636,0.322,4,-13.676,0.0595,0.85,0.000243,0.124,0.578,82.236,16rgtsQXvzj2EwYaJiIZZQ,4
0.554,0.354,6,-9.158,0.0363,0.79,0.266,0.115,0.342,101.924,4mOcY8qgzdfl7uFcKBszsI,4
